,DUKE-00650,DUKE-00651,DUKE-00652,DUKE-00653,DUKE-00654,DUKE-00655,DUKE-00656,DUKE-00657,DUKE-00658,DUKE-00659,DUKE-00660,DUKE-00661,DUKE-00662,DUKE-00663,DUKE-00664,DUKE-00665,DUKE-00666,DUKE-00667,DUKE-00668,DUKE-00669,DUKE-00670,DUKE-00671,DUKE-00672,DUKE-00673,DUKE-00674,DUKE-00675,DUKE-00676,DUKE-00677,DUKE-00678,DUKE-00679
adenosine 2'-monophosphate (2'-AMP),35679.6,83821.4,39797.5,58943.8,46183.6,9363.2,,21964.3,12475.6,4423,111631.1,16817.7,,7634.5,11949.8,145028.6,52905.8,46139.9,88014,27912.1,13467.6,86341.3,50265.7,49398.3,132320.7,305292.5,65746.3,59520.2,39858.3,29815.5
"adenosine 3',5'-cyclic monophosphate (cAMP)",,,,,2470.9,,,,,,4690.6,,,,,5664.4,4599.8,,9835,,6253.4,5192.3,,4508.1,,3239,,,,
adenosine 3'-monophosphate (3'-AMP),37247.6,68474.5,39422.6,106237.1,52934.6,,,20853.1,37247.4,,56087.7,31291,10077.9,,,48676.9,270965.7,51723.9,137565.4,76458.4,42648.4,40156.4,112458.1,103654.1,100771.8,302058.9,95834.8,92166.3,182641.3,28226.3
adenosine 5'-diphosphate (ADP),31394.1,13275.5,,51545.9,112754.9,,,15501.5,16309.9,,129564.7,26770.1,,,,16795.2,61882,156976.2,57960.5,34372.9,302523,167957.1,26179,193354,91724.4,31977,71630,26488.2,43479.5,
adenosine 5'-monophosphate (AMP),3502394.3,566412.6,2211698,1331213.5,3390622.3,15299.9,35877.5,1758795.5,1879345.9,4925,5867291,1459005.4,813839.3,23046.2,97294.3,432720.4,3796410.8,2979588.5,4169075,2653212,8053314,5954190,1901004.3,5752429.5,4712573,279450.8,3530032.3,3001495.5,1561846.9,55322.7
adenosine 5'diphosphoribose,,,7396.8,4633.6,,,9834,18553.9,,,5279.4,8624.1,5152.3,4170.2,,,,4692.1,,13134.1,,19278.1,,36731.1,9833.8,,,,,
adenylosuccinate,4019.5,4202.9,,2524.3,31802.8,,,,,,71552.2,4495.4,,,,,27712.9,13209.3,17988.7,4758.9,82915.2,60415.3,6121.8,83464.2,36691.8,,17778.7,,9290.8,
adrenate (22:4n6),7369221.5,3610325.8,7237479.5,3473896,2132954.3,1207155.5,284118.9,710904.5,1912126.1,1802374,1865001.5,1691715.1,2059502.9,529806.3,681176.9,2000561.4,4994910.5,1820936.9,2057632.1,1644269.1,690759.1,2127585.8,1964458.3,1406277.8,12871965,3358118,2282060,2280967.8,1966693.1,1585955.6
agmatine,81799,48786,231302,156622,236185,,29483,81452,54540,26644,132188,169744,61719,,26485,168037,100125,74895,404546.8,110119,235181,91095,145884,185809,555388.3,240123,256961,108194,226107,76846
AICA ribonucleotide,,16434.1,21366.1,,27561.9,,,,,,36542.4,4327.1,,,,,91164.8,,52294.1,,23750.5,,,10716.7,126333.6,,27652,,64215.3,
alanine,73457712,63762628,165694272,78625552,119705464,19830180,13876460,32482612,66437956,22806134,141893152,29120516,82582512,20468172,22839326,38076028,186342400,50206500,135180096,81456296,82035936,87906128,91489112,105693688,319987584,83754576,105858080,54814836,125240368,50506804
alanylleucine,60167,112542.2,62421.6,112013.6,173841.3,,,18333.3,28144.4,8296.2,63688.5,20564.4,20031.1,22154.8,,76220.1,70538.7,32656.8,150932.8,31326.7,17992.8,55349.5,95786.8,25315.8,340936.6,53080.3,42644,39712.2,27471.3,
alanylphenylalanine,24377,35013.5,22269.2,37176,78746,,,25730.7,,,31736.2,17187.8,,,,26815.5,32591.6,26055,48922.7,17349.2,,25579.5,40506.9,,82232.4,14210,13842,16540,13696.6,
alpha-hydroxyisovalerate,,190200,128998,100655.7,290611.1,126378,111135,263715.1,,,150544.6,,213163,115107.3,94971.8,,105542,,,,73997,174260.5,,132171.2,162974,154422.1,124258,,89407,125607
alpha-tocopherol,178939.5,83331.3,318590,235767.4,105054.4,62379,99250.8,260310.8,835186.5,61246.8,156354.5,269350.2,63018.3,69686,40091.2,148148,281868,2667114.3,289650.3,249239.2,231159.3,106177.3,130899.6,714173.8,850904.3,163435.2,177511.6,180599.6,157377.9,43930
androsterone sulfate,11153.4,41169.2,8204.5,6097.5,,53360.3,70139.1,22845.3,11720.8,8779.7,12708.9,,5091.3,73418.9,439391.6,4995.3,39737.8,4102.5,13475.2,11681.8,4900.9,4629.4,11966,,12882.2,10181.6,4584.4,,27360.6,34272.2
anserine,34133.1,,8034.3,11093.5,15499.2,,,,,,6991.1,,,,,7671.3,25684.9,,5178.3,3813.6,7390.4,3327.5,4244.5,9398.2,30876.7,1405.8,5687.7,,7340.2,
arabitol,59325.3,72404.9,48572.9,64217,63290.6,,10984,14393.4,41256.8,11750.4,54769.8,51885.7,82630.2,22151,,33565.8,54049,,213216.3,60584,178825.8,41852.6,51117.8,54519.7,107607.9,66500.5,83714.7,216856.2,25475.4,18972.7
arachidonate (20:4n6),13862284,11617848,17277570,9181797,7179158,2783712.8,1321191.1,3019168.5,10789628,7448770.5,6011662.5,5118050,5667334.5,2635497,4251797.5,7572713.5,9659850,5424601.5,9289445,6163955,3579955.8,5520675,9514416,5564875,16829094,11327314,5486494,7374533.5,4711518,8645606
arginine,1037825.3,1544540.3,1282176.4,1137569.5,1364961.4,602523.9,464997.1,1070295.6,1050848.8,595991.1,452303.2,817336.9,1112467.3,548249.3,614986.3,979322.2,1297614.6,1043921.8,1195149.4,1293354.4,496384.8,833081.8,1460952.3,1192962,1400146.9,1207333.9,1194785,1236542.3,1243019.9,1311114.5
ascorbate (Vitamin C),12845420,16369306,8239159,33093476,2849968.8,15864,226957.8,7888780.5,20710286,1177683.9,33876140,3064716.5,16914942,22287,25772,9676201,27767202,18467254,17132482,25730162,66181456,40872076,10741066,3506474.8,35969852,12691825,34060180,18990912,3256841.5,10646956
asparagine,311256.6,532577.5,1321509.3,670105.3,735987.8,67671,26373,201748.1,170402.6,76299.7,405101,141121.3,308158.7,94253,85412.6,64859.2,1051392.4,157060.6,1768218.9,481116.7,140644,699152.6,973538.1,93369.1,1419058.1,619262.8,502459.2,427804.3,878689.6,541660.4
